category_id	event_count	active_users	active_items	pv_count	intent_count	buy_count	buyer_users	buy_event_rate_pct
1464116	7875	1768	2557	6728	823	324	288	4.1143
4145813	33842	3729	10583	30740	2782	320	287	0.9456
2735466	12723	2621	2969	11083	1341	299	251	2.3501
2885642	10033	1541	4979	8972	791	270	237	2.6911
4756105	46644	4042	9942	42963	3414	267	231	0.5724
982926	29723	3945	8691	27052	2407	264	224	0.8882
4801426	20181	3267	6417	18091	1843	247	213	1.2239
4159072	2059	554	832	1672	201	186	165	9.0335
4217906	9911	2003	3628	8796	946	169	145	1.7052
3002561	16181	2620	5936	14632	1382	167	146	1.0321
4357323	7523	1214	2716	6694	668	161	135	2.1401
2640118	7633	1316	3086	6733	742	158	132	2.0700
903809	3901	949	1233	3390	362	149	124	3.8195
4789432	3403	815	1407	2977	277	149	132	4.3785
1320293	18660	3356	6921	17110	1406	144	128	0.7717
2465336	15801	2605	5979	14392	1272	137	123	0.8670
149192	10904	1939	4173	9768	1013	123	102	1.1280
3607361	30924	3263	7024	29086	1717	121	96	0.3913
1879194	7999	1421	2618	7259	622	118	95	1.4752
1299190	4864	1042	2207	4380	368	116	102	2.3849
