item_id	category_id	event_count	active_users	pv_count	intent_count	buy_count	buyer_users	buy_event_rate_pct	item_tag
3122135	1516409	33	21	15	6	12	12	36.3636	TOP_SELLER
3964583	800581	48	30	36	3	9	9	18.7500	TOP_SELLER
4219087	1787510	61	37	43	9	9	9	14.7541	TOP_SELLER
1944325	139590	31	10	21	1	9	2	29.0323	TOP_SELLER
4014543	3087458	49	32	33	8	8	5	16.3265	TOP_SELLER
257772	3848953	33	22	25	1	7	7	21.2121	TOP_SELLER
2127137	3231625	21	14	14	0	7	6	33.3333	TOP_SELLER
2964774	1265358	67	51	57	3	7	6	10.4478	TOP_SELLER
4401268	1265358	38	23	25	6	7	6	18.4211	TOP_SELLER
3015666	1973012	32	20	21	4	7	4	21.8750	TOP_SELLER
1883768	1689352	36	25	26	3	7	3	19.4444	TOP_SELLER
940316	2612425	7	1	0	0	7	1	100.0000	TOP_SELLER
3603903	2072473	16	1	8	1	7	1	43.7500	TOP_SELLER
4157341	3901193	7	1	0	0	7	1	100.0000	TOP_SELLER
191709	1349561	63	38	54	3	6	6	9.5238	TOP_SELLER
301639	2296439	16	11	9	1	6	6	37.5000	TOP_SELLER
3033982	64179	24	15	16	2	6	6	25.0000	TOP_SELLER
3101480	3248072	28	14	17	5	6	6	21.4286	TOP_SELLER
3237415	3231625	36	28	25	5	6	6	16.6667	TOP_SELLER
3599005	4392650	11	7	4	1	6	6	54.5455	TOP_SELLER
